From,To,Line,Load
King's Cross St. Pancras,Euston Square,Metropolitan,2.048854972082426e-06
King's Cross St. Pancras,Farringdon,H&C and Circle,1.6530119977627653e-06
King's Cross St. Pancras,Farringdon,Metropolitan,2.1763088147011076e-06
King's Cross St. Pancras,Highbury & Islington,Victoria,5.996482756344064e-07
King's Cross St. Pancras,Russell Square,Piccadilly,1.0942910486730979e-06
Kingsbury,Queensbury,Jubilee,5.946923439544051e-06
Kingsbury,Wembley Park,Jubilee,4.2451806192897815e-06
Knightsbridge,Hyde Park Corner,Piccadilly,8.862930243455034e-07
Knightsbridge,South Kensington,Piccadilly,9.654856239351406e-07
Ladbroke Grove,Latimer Road,H&C and Circle,3.3728475838640656e-06
Ladbroke Grove,Westbourne Park,H&C and Circle,2.6717194314163557e-06
Lambeth North,Elephant & Castle LU,Bakerloo,8.042703017168582e-06
Lambeth North,Waterloo LU,Bakerloo,5.109252671975338e-06
Lancaster Gate,Marble Arch,Central,9.564100056182377e-07
Lancaster Gate,Queensway,Central,1.040447807067934e-06
Latimer Road,Ladbroke Grove,H&C and Circle,3.2597885782345476e-06
Latimer Road,Wood Lane,H&C and Circle,3.5463031963345454e-06
Leicester Square,Charing Cross LU,Northern,9.63506134159272e-07
Leicester Square,Covent Garden,Piccadilly,1.1095562674658927e-06
Leicester Square,Piccadilly Circus,Piccadilly,9.983082870592463e-07
Leicester Square,Tottenham Court Road,Northern,9.055796254465896e-07
Leyton,Leytonstone,Central,1.1829634889400268e-06
Leyton,Stratford,Central,9.750314683158397e-07
Leytonstone,Leyton,Central,1.1464950900071754e-06
Leytonstone,Snaresbrook,Central,2.4943928903794746e-06
Leytonstone,Wanstead,Central,2.94972344776181e-06
Liverpool Street LU,Aldgate,H&C and Circle,5.758039777955682e-06
Liverpool Street LU,Aldgate,Metropolitan,9.82283223159828e-06
Liverpool Street LU,Aldgate East,H&C and Circle,3.907488531213418e-06
Liverpool Street LU,Bank and Monument,Central,6.831894913338356e-07
Liverpool Street LU,Bethnal Green LU,Central,7.065135270830509e-07
Liverpool Street LU,Moorgate,H&C and Circle,1.9540295978482158e-06
Liverpool Street LU,Moorgate,Metropolitan,3.62603666350565e-06
London Bridge LU,Bank and Monument,Northern,8.467665795855304e-07
London Bridge LU,Bermondsey,Jubilee,5.974859315421887e-07
London Bridge LU,Borough,Northern,1.1655282756217117e-06
London Bridge LU,Southwark,Jubilee,5.826918830406259e-07
Loughton,Buckhurst Hill,Central,5.759657420266152e-06
Loughton,Debden,Central,8.25422963087133e-06
Maida Vale,Kilburn Park,Bakerloo,3.8121276428795145e-06
Maida Vale,Warwick Avenue,Bakerloo,2.8957373267550026e-06
Manor House,Finsbury Park LU,Piccadilly,1.378242587762455e-06
Manor House,Turnpike Lane,Piccadilly,1.6483048284297795e-06
Mansion House,Blackfriars LU,District,1.17141668329322e-06
Mansion House,Blackfriars LU,H&C and Circle,5.4904594907529416e-06
Mansion House,Cannon Street LU,District,1.203450483466311e-06
Mansion House,Cannon Street LU,H&C and Circle,5.646022028285318e-06
Marble Arch,Bond Street,Central,8.683019362258808e-07
Marble Arch,Lancaster Gate,Central,9.896264190491214e-07
Marylebone LU,Baker Street,Bakerloo,1.4983930356442147e-06
Marylebone LU,Edgware Road (Bak),Bakerloo,1.4772465909695402e-06
Mile End,Bethnal Green LU,Central,7.676662753855664e-07
Mile End,Bow Road,District,1.5943876367056648e-06
Mile End,Bow Road,H&C and Circle,5.056021415350001e-06
Mile End,Stepney Green,District,1.796260073188264e-06
Mile End,Stepney Green,H&C and Circle,5.488744308581588e-06
Mile End,Stratford,Central,8.276861341114446e-07
Mill Hill East,Finchley Central,Northern,2.8999323324705627e-05
Moor Park,Croxley,Metropolitan,2.1136395359113034e-05
Moor Park,Northwood,Metropolitan,6.913976478350666e-06
Moor Park,Rickmansworth,Metropolitan,1.2930291351634912e-05
Moorgate,Bank and Monument,Northern,9.366891476221023e-07
Moorgate,Barbican,H&C and Circle,1.7801517047040606e-06
Moorgate,Barbican,Metropolitan,2.8866835098230073e-06
Moorgate,Liverpool Street LU,H&C and Circle,1.928091743896621e-06
Moorgate,Liverpool Street LU,Metropolitan,3.57132801876236e-06
Moorgate,Old Street,Northern,9.808974396195503e-07
Morden,South Wimbledon,Northern,5.351008586274043e-06
Mornington Crescent,Camden Town (Edgware),Northern,2.617802264244084e-06
Mornington Crescent,Camden Town (High Barnet),Northern,2.379763811916392e-06
Mornington Crescent,Euston LU,Northern,1.0969824492311758e-06
Neasden,Dollis Hill,Jubilee,2.91927139146283e-06
Neasden,Wembley Park,Jubilee,3.6137148125441638e-06
Newbury Park,Barkingside,Central,9.67636384947935e-06
Newbury Park,Gants Hill,Central,5.5219503858727105e-06
Nine Elms,Battersea Power Station,Northern,5.3552529350588995e-06
Nine Elms,Kennington (Charing Cross),Northern,3.4978404507845628e-06
North Acton,East Acton,Central,2.0278475445865813e-06
North Acton,Hanger Lane,Central,3.945212390113146e-06
North Acton,West Acton,Central,6.7105239165792675e-06
North Ealing,Ealing Common,Piccadilly,4.850829867179434e-06
North Ealing,Park Royal,Piccadilly,5.023330206028172e-06
North Greenwich,Canary Wharf LU,Jubilee,8.325787137266326e-07
North Greenwich,Canning Town,Jubilee,9.078751713693676e-07
North Harrow,Harrow-on-the-Hill,Metropolitan,4.028368304369696e-06
North Harrow,Pinner,Metropolitan,4.760641386011417e-06
North Wembley,South Kenton,Bakerloo,2.8627292954244297e-05
North Wembley,Wembley Central,Bakerloo,1.8152996610366636e-05
Northfields,Boston Manor,Piccadilly,2.4261416050113765e-06
Northfields,South Ealing,Piccadilly,2.0933199632209236e-06
Northolt,Greenford,Central,6.809575354253763e-06
Northolt,South Ruislip,Central,1.670522197826317e-05
Northwick Park,Harrow-on-the-Hill,Metropolitan,1.9100363321401873e-06
Northwick Park,Preston Road,Metropolitan,1.6954730803916213e-06
Northwood,Moor Park,Metropolitan,7.652917360772612e-06
