From,To,Line,Load,Inverse_Load
Hammersmith (DIS),Barons Court,Piccadilly,733437.9981819459,1.363441766691678e-06
Hammersmith (DIS),Ravenscourt Park,District,415888.6001558639,2.4044900476358977e-06
Hammersmith (DIS),Turnham Green,Piccadilly,678571.8940481729,1.4736831996301463e-06
Hammersmith (H&C),Goldhawk Road,H&C and Circle,181354.87145454888,5.5140509432117446e-06
Hampstead,Belsize Park,Northern,541748.0188364399,1.8458766164900582e-06
Hampstead,Golders Green,Northern,464225.3162691796,2.1541263799153795e-06
Hanger Lane,North Acton,Central,269447.9703678015,3.7112916405901347e-06
Hanger Lane,Perivale,Central,215710.78594277307,4.635836801713266e-06
Harlesden,Stonebridge Park,Bakerloo,84208.84234112964,1.1875237471487906e-05
Harlesden,Willesden Junction,Bakerloo,114423.29163899306,8.739479398608918e-06
Harrow & Wealdstone,Kenton,Bakerloo,29191.59890704737,3.4256431214481445e-05
Harrow-on-the-Hill,North Harrow,Metropolitan,227356.919624243,4.398370639665239e-06
Harrow-on-the-Hill,Northwick Park,Metropolitan,547510.5719452098,1.826448750472843e-06
Harrow-on-the-Hill,West Harrow,Metropolitan,221851.25296069315,4.5075246889733665e-06
Hatton Cross,Heathrow Terminal 4 LU,Piccadilly,35633.05423692428,2.8063830659897886e-05
Hatton Cross,Heathrow Terminals 123 LU,Piccadilly,174610.5206177157,5.727031775991061e-06
Hatton Cross,Hounslow West,Piccadilly,261102.2640222396,3.8299170010828565e-06
Heathrow Terminal 4 LU,Heathrow Terminals 123 LU,Piccadilly,35384.49774375815,2.8260963522547122e-05
Heathrow Terminal 5 LU,Heathrow Terminals 123 LU,Piccadilly,91950.86661305428,1.0875373303529363e-05
Heathrow Terminals 123 LU,Hatton Cross,Piccadilly,240443.1788576016,4.158986770808886e-06
Heathrow Terminals 123 LU,Heathrow Terminal 5 LU,Piccadilly,79254.27318438335,1.261761618422166e-05
Hendon Central,Brent Cross,Northern,365596.129807213,2.7352587143833343e-06
Hendon Central,Colindale,Northern,259258.75043425,3.85715042722775e-06
High Barnet,Totteridge & Whetstone,Northern,71660.50273247165,1.3954688592309697e-05
High Street Kensington,Earl's Court,District,206659.0786645154,4.838887342681771e-06
High Street Kensington,Notting Hill Gate,District,266588.6181722379,3.7510978782819558e-06
High Street Kensington,Notting Hill Gate,H&C and Circle,200367.9688245805,4.990817673435053e-06
Highbury & Islington,Finsbury Park LU,Victoria,1451758.499939234,6.888198002917544e-07
Highgate,Archway,Northern,514001.9135936751,1.9455180487723095e-06
Highgate,East Finchley,Northern,455634.84980301047,2.1947399335945018e-06
Hillingdon,Ickenham,Metropolitan,114929.43784441327,8.700990962417816e-06
Hillingdon,Ickenham,Piccadilly,26519.12058028025,3.7708641090595024e-05
Hillingdon,Uxbridge,Metropolitan,89679.53280904297,1.1150816342111492e-05
Hillingdon,Uxbridge,Piccadilly,23339.97864746217,4.284494065330832e-05
Holborn,Chancery Lane,Central,1503024.0957507223,6.653253283344904e-07
Holborn,Covent Garden,Piccadilly,922084.6035309668,1.084499183882552e-06
Holborn,Russell Square,Piccadilly,848225.2257184105,1.1789321629205766e-06
Holborn,Tottenham Court Road,Central,1374611.1600404666,7.274784528670358e-07
Holland Park,Notting Hill Gate,Central,770930.7270653017,1.2971334062746406e-06
Holland Park,Shepherd's Bush LU,Central,690623.7893733436,1.4479663391082683e-06
Holloway Road,Arsenal,Piccadilly,564614.813941241,1.7711189563369641e-06
Holloway Road,Caledonian Road,Piccadilly,695713.1463433001,1.437374017231161e-06
Hornchurch,Elm Park,District,69490.90208448417,1.4390372984138862e-05
Hornchurch,Upminster Bridge,District,47827.7873142195,2.090834755599688e-05
Hounslow Central,Hounslow East,Piccadilly,342286.36698476865,2.9215303221366654e-06
Hounslow Central,Hounslow West,Piccadilly,270385.11816264514,3.698428400184616e-06
Hounslow East,Hounslow Central,Piccadilly,313275.60267737147,3.192077491683434e-06
Hounslow East,Osterley,Piccadilly,395426.2387480623,2.528916652486305e-06
Hounslow West,Hatton Cross,Piccadilly,233640.79232699983,4.280074511134239e-06
Hounslow West,Hounslow Central,Piccadilly,297785.4475294502,3.358122461310346e-06
Hyde Park Corner,Knightsbridge,Piccadilly,1181111.0922739045,8.466604086113315e-07
Ickenham,Hillingdon,Metropolitan,108391.2721836586,9.22583506821099e-06
Ickenham,Hillingdon,Piccadilly,27483.533862314474,3.6385422813883614e-05
Ickenham,Ruislip,Metropolitan,122870.12025520674,8.138675195588278e-06
Ickenham,Ruislip,Piccadilly,27913.848880448888,3.58245114918713e-05
Kennington (Bank),Elephant & Castle LU,Northern,816961.2137225963,1.2240483185772826e-06
Kennington (Bank),Oval,Northern,831183.1100793168,1.2031043314927003e-06
Kennington (Charing Cross),Nine Elms,Northern,266138.2394199888,3.7574457626959604e-06
Kennington (Charing Cross),Oval,Northern,94391.93213167206,1.059412576283585e-05
Kennington (Charing Cross),Waterloo LU,Northern,583559.9019846483,1.7136201383937907e-06
Kensal Green,Queen's Park,Bakerloo,137818.8832424804,7.255899746630413e-06
Kensal Green,Willesden Junction,Bakerloo,109760.20506210618,9.110770150567456e-06
Kensington (Olympia),Earl's Court,District,4357.482102539147,0.00022949032869631076
Kentish Town,Camden Town (High Barnet),Northern,781330.4741237969,1.279868164775506e-06
Kentish Town,Tufnell Park,Northern,721881.1619118685,1.3852695606456149e-06
Kenton,Harrow & Wealdstone,Bakerloo,18600.022344818342,5.3763376272426005e-05
Kenton,South Kenton,Bakerloo,41342.295840097286,2.418830352014739e-05
Kew Gardens,Gunnersbury,District,167839.01977621412,5.958090087354755e-06
Kew Gardens,Richmond,District,124724.35506475382,8.017680263656802e-06
Kilburn,West Hampstead LU,Jubilee,548824.1353364895,1.8220773023892071e-06
Kilburn,Willesden Green,Jubilee,422941.388644721,2.364393806915926e-06
Kilburn Park,Maida Vale,Bakerloo,293900.1489317896,3.4025161390172924e-06
Kilburn Park,Queen's Park,Bakerloo,216110.86169705965,4.627254697645795e-06
Kingsbury,Queensbury,Jubilee,168154.17419879712,5.946923439544051e-06
Kingsbury,Wembley Park,Jubilee,235561.2374785834,4.2451806192897815e-06
Knightsbridge,Hyde Park Corner,Piccadilly,1128295.0136479584,8.862930243455034e-07
Knightsbridge,South Kensington,Piccadilly,1035748.202986374,9.654856239351406e-07
Ladbroke Grove,Latimer Road,H&C and Circle,296485.38071630296,3.3728475838640656e-06
Ladbroke Grove,Westbourne Park,H&C and Circle,374290.7987422433,2.6717194314163557e-06
Lambeth North,Elephant & Castle LU,Bakerloo,124336.30806276471,8.042703017168582e-06
Lambeth North,Waterloo LU,Bakerloo,195723.340418273,5.109252671975338e-06
Lancaster Gate,Marble Arch,Central,1045576.6816801388,9.564100056182377e-07
Lancaster Gate,Queensway,Central,961124.616926322,1.040447807067934e-06
Latimer Road,Ladbroke Grove,H&C and Circle,306768.3611989293,3.2597885782345476e-06
Latimer Road,Wood Lane,H&C and Circle,281983.7855470448,3.5463031963345454e-06
Leicester Square,Charing Cross LU,Northern,1037876.1115751188,9.63506134159272e-07
Leicester Square,Covent Garden,Piccadilly,901261.1882080506,1.1095562674658927e-06
Leicester Square,Piccadilly Circus,Piccadilly,1001694.5796831328,9.983082870592463e-07
Leicester Square,Tottenham Court Road,Northern,1104265.1268869336,9.055796254465896e-07
Leyton,Leytonstone,Central,845334.6272724207,1.1829634889400268e-06
Leyton,Stratford,Central,1025607.9239445349,9.750314683158397e-07
Leytonstone,Leyton,Central,872223.5347678126,1.1464950900071754e-06
